రాజకీయ	NN	O	O
ఒత్తిడి	NN	O	O
:	SYM	O	O
టూజీ	NNP	O	B-LOC
,	SYM	O	O
బొగ్గు	NN	O	O
గనుల	NN	O	O
కేటాయింపు	NN	O	O
కుంభకోణాల్లో	NN	O	O
నాటి	NST	O	O
ప్రధాని	NN	O	O
మన్మోహన్‌	NNP	B-PERSON	B-PERSON
సింగ్‌	NNP	I-PERSON	I-PERSON
పేరు	NN	O	O
లేకుండా	VM	O	O
చూడాలని	VM	O	O
కాంగ్రెస్‌	NNP	B-ORG	B-ORG
నేతలు	NN	O	O
సంజయ్‌	NNP	B-PERSON	B-PERSON
నిరుపం	NNP	I-PERSON	I-PERSON
,	SYM	O	O
సందీప్‌	NNP	B-PERSON	B-PERSON
దీక్షిత్	NNP	I-PERSON	I-PERSON
,	SYM	O	O
అశ్వనీ	NNP	B-PERSON	B-PERSON
కుమార్‌	NNP	I-PERSON	I-PERSON
తనపై	PRP	O	O
ఒత్తిడి	NN	O	O
తెచ్చారని	VM	O	O
కూడా	PSP	O	O
కాగ్‌	NNP	B-ORG	B-LOC
మాజీ	NN	O	O
చీఫ్‌	NN	O	O
వెల్లడించారు	VM	O	O
.	SYM	O	O

భారతీయ	NNP	O	B-LOC
సంస్థలతో	NN	O	O
భాగస్వామ్యం	NN	O	O
టూరిజంను	NN	O	O
ప్రోత్సహించడానికి	NN	O	O
భారతీయ	NNP	O	O
సంస్థలతో	NN	O	O
ఇండోనేషియా	NNP	B-LOC	B-LOC
వ్యాపార	NN	O	O
భాగస్వామ్యాన్ని	NN	O	O
కుదుర్చుకుంటున్నది	VM	O	O
.	SYM	O	O

ఇక	RP	O	O
ముందు	NST	O	O
ఏ	WQ	O	O
ప్రభుత్వ	NN	O	O
కార్యాలయంలో	NN	O	O
పని	NN	O	O
కావాలన్నా	VM	O	O
ఆధార్	NN	O	O
తప్పనిసరి	VM	O	O
,	SYM	O	O
ఆధార్	NN	O	O
లేకపోతే	VM	O	O
ఏ	WQ	O	O
లావాదేవీలు	NN	O	O
జరగవట	VM	O	O
.	SYM	O	O

స్థానిక	NN	O	O
ఎన్	WQ	O	O
నెన్షన్	NN	O	O
సెంటర్	NN	O	O
లో	PSP	O	O
మంగళవారం	NN	B-MISC	B-MISC
జరిగిన	VM	O	O
స్ర్తినిధి	NN	O	O
ప్రథమ	NN	O	O
వార్షిక	NN	O	O
సర్వసభ్య	NN	O	O
సమావేశాన్ని	NN	O	O
ప్రారంభించిన	VM	O	O
అనంతరం	NNP	O	O
చంద్రబాబు	NNP	B-PERSON	B-PERSON
మాట్లాడారు	VM	O	O
.	SYM	O	O

ప్రతిపక్షాలు	NN	O	O
సభను	NN	O	O
అడ్డుకోవడాన్ని	NN	O	O
బట్టి	PSP	O	O
చూస్తే	VM	O	O
వాటి	PRP	O	O
అభివృద్ధి	NN	O	O
నిరోధక	VM	O	O
అజెండా	NN	O	O
తేటతెల్లమైందని	VM	O	O
అన్నారు	VM	O	O
.	SYM	O	O

అంతకు	PRP	O	O
ముందు	NST	O	O
ఉన్న	VM	O	O
ప్రభుత్వాలు	NN	O	O
అనుసరించిన	VM	O	O
విధానాల	NN	O	O
పుణ్యమా	NN	O	O
అని	UT	O	O
ప్రపంచ	NN	O	O
దేశాలు	NN	O	O
అమెరికాపై	NNP	B-LOC	B-PERSON
యుద్ధోన్మాది	NN	O	O
అనే	UT	O	O
ముద్ర	NN	O	O
వేశాయి	VM	O	O
.	SYM	O	O

కురు	NN	O	O
.	SYM	O	O

అమిత్	NNP	B-PERSON	B-PERSON
మిశ్రా	NNP	I-PERSON	I-PERSON
(	SYM	O	O
24	QC	B-MISC	B-MISC
)	SYM	O	O
ఫర్వాలేదనిపించాడు	VM	O	O
.	SYM	O	O

