అయితే	CC	O	O
కాంగ్రెస్‌	NNP	B-ORG	B-ORG
నేత	NN	O	O
సంజయ్‌	NNP	B-PERSON	B-PERSON
నిరుపం	NNP	I-PERSON	I-PERSON
ఈ	DEM	O	O
ఆరోపణలను	NN	O	O
ఖండించారు	VM	O	O
.	SYM	O	O

ఎవరికైనా	WQ	O	O
ఇంతకంటే	PRP	O	O
ఏంకాలి	VM	O	O
అంటూ	UT	O	O
ఉద్వేగభరిత	NN	O	O
ప్రసంగం	NN	O	O
చేశారు	VM	O	O
.	SYM	O	O

పట్నంలో	NN	O	O
వుండే	VM	O	O
వాళ్ళు	PRP	O	O
,	SYM	O	O
చదువుతున్న	VM	O	O
వాళ్ళు	PRP	O	O
,	SYM	O	O
పైగా	RB	O	O
వున్నవాళ్ళు	VM	O	O
.	SYM	O	O

ఇందులో	PRP	O	O
అమర్చిన	VM	O	O
ఇంజన్‌	NN	O	O
టు	NN	O	O
ఇంజన్‌	NN	O	O
టెక్నాలజీ	NNP	O	B-LOC
రోడ్డుపై	NN	O	O
ప్రయాణిస్తున్న	VM	O	O
ఇతర	JJ	O	O
కార్ల	NN	O	O
వేగం	NN	O	O
,	SYM	O	O
దూరం	NN	O	O
,	SYM	O	O
దిశలతో	NN	O	O
బాటు	NN	O	O
వాతావరణ	NN	O	O
పరిస్థితులు	NN	O	O
,	SYM	O	O
రోడ్ల	NN	O	O
పరిస్థితి	NN	O	O
లాంటి	JJ	O	O
అనేక	JJ	O	O
అంశాలపై	NN	O	O
డ్రైవర్‌	NN	O	O
ను	PSP	O	O
అప్రమత్తం	NN	O	O
చేస్తుంది	VM	O	O
.	SYM	O	O

భద్రాచలం	NNP	B-LOC	B-LOC
వద్ద	NST	O	O
గోదావరి	NNP	B-LOC	B-LOC
ఉగ్రరూపం	NN	O	O
దాల్చుతోంది	VM	O	O
.	SYM	O	O

ఆ	DEM	O	O
తర్వాత	NST	O	O
ఏ	WQ	O	O
చొక్కా	NN	O	O
ఎప్పుడు	WQ	O	O
వేసుకుంటారో	VM	O	O
తెలియని	VM	O	O
వాళ్లా	PRP	O	O
