కాంగ్రెస్‌	NNP	B-ORG	B-LOC
పార్టీకి	NN	I-ORG	O
గుడ్‌	NN	O	O
బై	NN	O	O
చెప్పి	VM	O	O
ఇటీవల	NST	O	O
టీఆర్‌	NNP	B-ORG	B-ORG
ఎస్‌	NNP	I-ORG	I-ORG
తీర్థం	NN	O	O
పుచ్చుకున్న	VM	O	O
డీఎస్‌	NNP	B-PERSON	B-PERSON
కు	PSP	O	O
కేసీఆర్‌	NNP	B-PERSON	B-PERSON
ఈ	DEM	O	O
పదవినిచ్చి	VM	O	O
గౌరవించారు	VM	O	O
.	SYM	O	O

భూసేకరణ	NN	O	O
చట్టాన్ని	NN	O	O
పక్కనబెట్టి	VM	O	O
60	QC	B-MISC	B-MISC
:	SYM	O	O
40	QC	B-MISC	B-MISC
నిష్పత్తి	NN	O	O
ప్రకారం	NN	O	O
సేకరించాలనేది	VM	O	O
సరికొత్త	NN	O	O
ఆలోచన	NN	O	O
.	SYM	O	O

పొగాకు	NN	O	O
ధరల	NN	O	O
అనూహ్య	NN	O	O
పతనంపై	NN	O	O
రైతులతో	NN	O	O
మాట్లాడి	VM	O	O
ప్రస్తుతం	NN	O	O
ఉన్న	VM	O	O
పరిస్థితుల్లో	NN	O	O
ఎలాంటి	WQ	O	O
చర్యలు	NN	O	O
తీసుకుంటే	VM	O	O
బాగుంటుందో	VM	O	O
రైతులను	NN	O	O
అడిగి	VM	O	O
తెలుసుకోవాల్సిందిగా	RB	O	O
మంత్రి	NN	O	O
పుల్లారావును	NNP	B-PERSON	B-PERSON
ఆదేశించారు	VM	O	O
.	SYM	O	O

వారసత్వ	NN	O	O
నగరాల	NN	O	O
కింద	NST	O	O
వరంగల్	NNP	B-LOC	B-LOC
ను	PSP	O	O
ఎంపిక	NN	O	O
చేశామని	VM	O	O
,	SYM	O	O
డీటెయిల్డ్	NN	O	O
ప్రాజెక్టు	NN	O	O
నివేదికను	NN	O	O
రూపొందించాలని	VM	O	O
ఇంటేక్	NNP	B-ORG	B-PERSON
అనే	UT	O	O
సంస్థకు	NN	O	O
అప్పగించామని	VM	O	O
తెలిపారు	VM	O	O
.	SYM	O	O

జిహాదీలపై	NN	O	O
దాడులకు	NN	O	O
తాము	PRP	O	O
సహకరించబోమని	VM	O	O
తమ	PRP	O	O
వైమానిక	NN	O	O
కేంద్రాలను	NN	O	O
వాడుకోవడానికి	VM	O	O
అమెరికా	NNP	B-LOC	B-LOC
యుద్ధ	NN	O	O
విమానాలకు	NN	O	O
అనుమతినివ్వబోమని	VM	O	O
స్పష్టంచేసింది	VM	O	O
.	SYM	O	O

శోభాయాత్రలో	NN	O	O
సుమారు	NN	O	O
40	QC	B-MISC	B-MISC
మంది	CL	O	O
పిల్లలు	NN	O	O
తప్పిపోయినట్లు	VM	O	O
పోలీసులకు	NN	O	O
ఫిర్యాదులొచ్చాయి	VM	O	O
.	SYM	O	O

:	SYM	O	O
ఇరాక్	NNP	B-LOC	B-LOC
,	SYM	O	O
సిరియాలతోపాటు	NNP	B-LOC	B-PERSON
భారత్	NNP	B-LOC	I-PERSON
,	SYM	O	O
అమెరికా	NNP	B-LOC	B-LOC
,	SYM	O	O
బ్రిటన్‌	NNP	B-LOC	B-LOC
తదితర	NN	O	O
దేశాల్లోకూడా	NN	O	O
వేళ్లూనుకోవడానికి	NN	O	O
ప్రయత్నిస్తున్న	VM	O	O
ఇసిస్‌	NNP	B-ORG	B-ORG
ను	PSP	O	O
స్థాపించినది	VM	O	O
అబు	NNP	B-PERSON	B-PERSON
బాఖర్‌	NNP	I-PERSON	I-PERSON
అల్	NNP	I-PERSON	I-PERSON
బాగ్దాదీ	NNP	B-PERSON	I-PERSON
అల్	NNP	I-PERSON	I-PERSON
హుస్సేనీ	NNP	B-PERSON	I-PERSON
అల్	NNP	I-PERSON	I-PERSON
ఖురేషి	NNP	B-PERSON	I-PERSON
!	SYM	O	O

ఈ	DEM	O	O
అంశంపై	NN	O	O
చర్చకుతెరదించుతూ	VM	O	O
న్యాయశాఖ	NN	B-ORG	O
ఈ	DEM	O	O
విషయం	NN	O	O
స్పష్టం	NN	O	O
చేసింది	VM	O	O
.	SYM	O	O

అన్సారీకి	NNP	B-PERSON	B-LOC
పీస్	NN	O	O
