సోమవారం	NN	B-MISC	B-MISC
మధ్యాహ్నం	NN	O	O
3	QC	B-MISC	B-MISC
గంటలకు	NN	I-MISC	I-MISC
స్పీకర్	NN	O	O
మధుసూదనాచారితో	NN	B-PERSON	O
సమావేశంకానున్నారు	VM	O	O
.	SYM	O	O

దేశవ్యాప్తంగా	RB	O	O
80	QC	B-MISC	B-MISC
లక్షల	QC	I-MISC	I-MISC
రవాణా	NN	O	O
వాహనాలు	NN	O	O
ఉండగా	VM	O	O
రాష్ట్రంలో	NN	O	O
రెండున్నర	QC	B-MISC	B-MISC
లక్షల	QC	I-MISC	I-MISC
వాహనాలు	NN	O	O
ఉన్నాయి	VM	O	O
.	SYM	O	O

ఇప్పటివరకు	NST	O	O
వాటిని	PRP	O	O
దూరంగా	RB	O	O
ఉంచిన	VM	O	O
మన	PRP	O	O
స్వదేశీ	NN	O	O
పరిశ్రమలు	NN	O	O
తమ	PRP	O	O
లాభాలను	NN	O	O
కాపాడుకోవటం	VM	O	O
కోసం	PSP	O	O
వాటికి	PRP	O	O
లొంగిపోవటం	VM	O	O
లేదా	CC	O	O
చేతులు	NN	O	O
కలిపి	VM	O	O
భాగస్వాములుగా	RB	O	O
మారిపోవటం	VM	O	O
జరుగుతోంది	VM	O	O
.	SYM	O	O

వీటిలో	PRP	O	O
151	QC	B-MISC	B-MISC
కమిటీలు	NN	O	O
కొత్తగా	RB	O	O
ఏర్పడినవి	VM	O	O
.	SYM	O	O

తెలంగాణ	NNP	B-LOC	B-LOC
రాష్ట్ర	NN	O	O
ఏర్పాటు	NN	O	O
కోసం	PSP	O	O
వెంకటస్వామి	NNP	B-PERSON	B-LOC
,	SYM	O	O
ప్రొఫెసర్	NN	O	O
జయశంకర్లు	NNP	B-PERSON	B-PERSON
ఎంతో	INTF	O	O
కృషి	NN	O	O
చేసి	VM	O	O
,	SYM	O	O
కలలు	NN	O	O
కన్నారని	NN	O	O
అన్నారు	VM	O	O
.	SYM	O	O

మామకు	NN	O	O
వెన్నుపోటు	NN	O	O
పొడిచి	VM	O	O
చంద్రబాబు	NNP	B-PERSON	B-PERSON
ముఖ్యమంత్రి	NN	O	O
కావడం	VM	O	O
,	SYM	O	O
పిఆర్	NNP	B-ORG	B-ORG
పి	NN	I-ORG	I-ORG
అధినేత	NN	O	O
చిరంజీవి	NNP	B-PERSON	B-LOC
ముఖ్యమంత్రి	NN	O	O
పదవి	NN	O	O
కోసం	PSP	O	O
పార్టీ	NN	O	O
పెట్టి	VM	O	O
చివరకు	NST	O	O
కాంగ్రెస్	NNP	B-ORG	B-ORG
లో	PSP	O	O
కలపడం	VM	O	O
తెలిసిందేనన్నారు	VM	O	O
.	SYM	O	O

ఎందుకంటె	WQ	O	O
చిన్నదైన	JJ	O	O
లెబనాన్	NNP	B-LOC	B-LOC
శరణార్థులు	NN	O	O
పట్టక	NN	O	O
పగిలిపోయే	VM	O	O
స్థితికి	NN	O	O
చేరింది	VM	O	O
.	SYM	O	O

ప్రోమోస్	NN	O	O
లో	PSP	O	O
వేస్తున్న	VM	O	O
విక్రమ్	NNP	B-PERSON	B-PERSON
కథ	NN	O	O
చెప్పే	VM	O	O
పాటలో	NN	O	O
గ్రాఫిక్స్	NN	O	O
బాగున్నాయి	VM	O	O
.	SYM	O	O

చివరకు	NST	O	O
క్రూరత్వంలో	NN	O	O
ఇసిస్‌	NNP	B-ORG	B-PERSON
అల్‌	NNP	B-ORG	I-PERSON
కాయిదానే	NN	I-ORG	O
మించిపోయింది	VM	O	O
.	SYM	O	O

ఎపి	WQ	O	O
శాసనసభలో	NN	O	O
పుష్కరాల	NN	O	O
మరణాలపై	NN	O	O
గందరగోళం	NN	O	O
జరిగినప్పుడు	VM	O	O
అచ్చెన్నాయుడు	NNP	B-PERSON	B-LOC
జోక్యం	NN	O	O
చేసుకుని	VM	O	O
జగన్	NNP	B-PERSON	B-PERSON
పై	NST	O	O
విమర్శలు	NN	O	O
కురిపించారు	VM	O	O
.	SYM	O	O

ఉగ్రవాద	NN	O	O
నిర్మూలనే	NN	O	O
మా	PRP	O	O
ఏకైక	NN	O	O
లక్ష్యం	NN	O	O
అని	UT	O	O
సింగ్‌	NNP	B-PERSON	B-PERSON
పేర్కొన్నారు	VM	O	O
.	SYM	O	O

అలాగే	RB	O	O
అంతర్జాతీయ	NN	O	O
ఐటి	NN	O	O
దిగ్గజ	NN	O	O
సంస్థ	NN	O	O
గూగుల్	NNP	B-ORG	B-ORG
క్యాంపస్	NN	O	O
గూగుల్	NNP	B-ORG	B-LOC
ప్లెక్స్ను	VM	O	O
కూడా	PSP	O	O
మోదీ	NNP	B-PERSON	B-PERSON
సందర్శించే	NN	O	O
అవకాశం	NN	O	O
ఉంది	VM	O	O
.	SYM	O	O

ప్రతి	JJ	O	O
గ్రామంలోను	NN	O	O
ఒక	JJ	O	O
షెడ్డును	NN	O	O
నిర్మించి	VM	O	O
దానిలో	PRP	O	O
ముడిపదార్ధంతో	NN	O	O
దుస్తుల	NN	O	O
తయారీని	NN	O	O
ప్రభుత్వం	NN	O	O
ప్రోత్సహిస్తుందన్నారు	VM	O	O
.	SYM	O	O

రైతుకు	NN	O	O
కంటతడి	NN	O	O
పెట్టిస్తూ	VM	O	O
తన	PRP	O	O
వాటాదారులకు	NN	O	O
మాత్రం	PSP	O	O
ప్రతి	JJ	O	O
ఏటా	NN	O	O
డివిడెండ్లు	NN	O	O
పంచుతున్నది	VM	O	O
.	SYM	O	O

తాజాగా	RB	O	O
తెలంగాణ	NNP	B-LOC	B-LOC
లోని	PSP	O	O
పలు	JJ	O	O
జిల్లాల్లో	NN	O	O
సోమవారం	NN	B-MISC	B-MISC
9	QC	B-MISC	B-MISC
మంది	CL	O	O
రైతులు	NN	O	O
ఆత్మహత్యలకు	NN	O	O
పాల్పడ్డారు	VM	O	O
.	SYM	O	O

అమరావతి	NNP	B-LOC	B-LOC
,	SYM	O	O
